year,civil servant,craftsman,farmer,fisher,homemaker,retired,service provider,unemployed
78,5584.2,4613.348307692308,2224.0193055555555,2923.0866666666666,-129.35237288135593,1620.770882352941,5480.027906976745,-70.215
79,5469.481515151516,4706.07546875,1497.541527777778,2354.4444,-123.02775862068965,1538.0251219512195,5571.481363636363,-83.70454545454545
80,5487.765882352942,4643.963870967742,2189.671095890411,2395.5007792207793,-128.3482456140351,1604.0008888888888,5370.392926829269,-89.59521739130435
81,5509.404545454546,2915.6985483870967,2237.4793055555556,2893.3542666666667,-127.32379310344827,1796.5179999999998,5328.47512195122,-94.7025
82,6327.091212121212,5273.937936507937,2005.8938571428573,2543.8275000000003,-140.19172413793103,2016.1271153846153,6060.26619047619,-76.71833333333333
83,6000.315333333333,5200.402333333333,2001.576527777778,2594.295897435897,-151.68033333333332,2151.13625,6262.316190476191,-58.385416666666664
84,6099.766774193548,5336.6244067796615,2325.012676056338,3192.923205128205,-171.6835,2000.8270833333333,6205.436904761905,3.961200000000001
85,6277.282580645162,5321.302931034483,2478.5095588235295,2661.402911392405,-169.69366666666667,2047.5350980392157,6058.500930232558,-9.4876
86,6443.37935483871,5268.5542372881355,1715.3263235294119,2572.731447368421,-167.17457627118642,2155.415,6189.044772727272,-14.442692307692305
87,6317.649375,5207.816607142857,2551.612857142857,3114.7956756756757,-160.6791525423729,2187.5498076923077,6414.884772727272,-26.810384615384617
88,6147.7453125,5268.699464285714,2520.2139130434784,2550.953698630137,-162.45666666666665,2334.223148148148,6259.511627906977,-40.74961538461538
89,6212.945806451613,5372.416,2538.0323880597016,2496.56027027027,-170.37483333333333,2327.936666666667,6387.596511627908,-49.038518518518515
90,6319.8525,5438.757857142858,2519.427313432836,2991.319722222222,-187.43864406779662,2264.3456363636365,6446.192325581395,-64.47444444444444
91,6518.2465625,5378.737413793104,2264.8723880597017,2487.886805555556,-188.4619298245614,2141.189811320755,6358.360243902439,-53.189230769230775
92,6510.125757575757,5386.312456140351,2475.6483076923078,2498.059726027397,-177.21185185185186,2079.2372727272727,6412.45075,-62.01777777777778
93,6406.115882352941,5407.240178571429,1714.8619047619047,3092.7439726027396,-177.9714,1919.2487719298244,6605.12268292683,-45.53111111111111
94,6295.21875,5557.6705357142855,2467.8343548387097,2519.4958333333334,-182.335,2072.3111538461535,6686.075,-54.824285714285715
95,6516.434375,5518.929642857142,2392.1821666666665,2466.82338028169,-205.5512,1729.4642307692307,6902.32925,-70.13785714285714
96,6387.6734375,5612.4447272727275,2438.574833333333,3059.908695652174,-202.95862745098037,1867.1398148148148,6858.940256410256,-86.38928571428572
97,6528.803125,5796.069814814815,2596.2769491525423,2530.845,-181.7166,1730.9313725490197,6981.25525,-103.50392857142857
98,6588.567096774194,5822.003846153846,2605.3043333333335,2555.8934782608694,-173.04244897959182,1957.2330188679246,6966.092368421053,-119.14071428571428
99,6693.791,5801.719803921569,2694.8459016393444,3119.025588235294,-183.04458333333332,1834.606923076923,7035.75027027027,-138.2132142857143
100,6787.244333333334,5996.48294117647,1856.5516129032258,2579.9474242424244,-205.27520833333332,1919.7582,7040.876,-112.96666666666667
